Player Name,Team,League,POS,GP,MIN,BR
Serge Gnabry,MUN,BUND,M,30,1774,94
Miiko Albornoz,HAN,BUND,M,22,1660,94
Kalidou Sidibe,TOU,FRAN,M,20,1270,94
Dimitri Lienard,STR,FRAN,M,22,1290,94
Ki Sung-yueng,NEW,EPL,M,18,1302,94
Miguel Veloso,GEN,SERI,M/D,21,1257,94
Juraj Kucka,PAR,SERI,M,18,1535,93
Ibai Gomez,ALA,LIGA,M,18,1456,93
Recio,LGN,LIGA,M,18,1287,93
Alvaro Medran,RV,LIGA,M,21,1147,93
Ben Davies,TOT,EPL,M/D,27,1839,92
Samuel Moutoussamy,NTE,FRAN,M,28,1650,92
Raphael Guerreiro,DOR,BUND,M/D,23,1529,92
Leander Dendoncker,WLV,EPL,M,19,1469,92
Linton Maina,HAN,BUND,M,20,1425,92
Jerome Gondorf,FBG,BUND,M,26,1381,92
Mario Suarez,RV,LIGA,M,14,1026,92
Thiago Maia,LIL,FRAN,M,24,1014,92
Assane Diousse,CHV,SERI,M,14,891,92
Leroy Sane,MCI,EPL,M,31,1867,91
Keko,REV,LIGA,F/M,26,1543,91
Filip Bradaric,CAG,SERI,M,27,1494,91
Matteo Scozzarella,PAR,SERI,M,22,1468,91
Julian Weigl,DOR,BUND,M,18,1455,91
Pascal Gross,BHA,EPL,M,25,1876,90
Alex Iwobi,ARS,EPL,M,35,1972,90
Jeffrey Schlupp,CRY,EPL,M/D,30,1665,90
Alvaro Garcia,RV,LIGA,M,35,1759,90
Marco D'Alessandro,UDN,SERI,F/M,24,1496,90
Andrew Surman,BOU,EPL,M,18,1439,90
Samuel Kalu,BDX,FRAN,M,21,1279,90
Milan Badelj,LAZ,SERI,M,23,1143,90
Josh Murphy,CC,EPL,M,29,1822,89
Weston McKennie,SKE,BUND,M,25,1835,89
Riccardo Orsolini,BGN,SERI,F/M,35,1956,89
Fode Ballo-Toure,LIL,FRAN,M/D,18,1595,89
Renato Steffen,WOL,BUND,M,31,1504,89
Max Meyer,CRY,EPL,M,29,1410,89
Aaron Ramsey,ARS,EPL,M,28,1328,89
Ross Barkley,CHE,EPL,M,27,1241,89
Alessandro Schopf,SKE,BUND,M,15,1003,89
Giannelli Imbula,RV,LIGA,M,22,1739,88
Afriyie Acquah,EMP,SERI,M,28,1514,88
Matheus Pereira,FCN,BUND,F/M,19,1236,88
Jessy Deminguet,CAE,FRAN,M,20,1273,88
Florent Balmont,DIJ,FRAN,M,20,1082,88
David Zurutuza,RSO,LIGA,M,21,1223,88
Dodi Lukebakio,DUS,BUND,M,32,1995,87
Saman Ghoddos,AMN,FRAN,F/M,27,1832,87
Andrei Girotto,NTE,FRAN,M,20,1478,86
Ruben Pardo,RSO,LIGA,M,24,1373,86
Christian Atsu,NEW,EPL,M,28,1488,86
Nabil Fekir,LYO,FRAN,M,29,1989,85
Yangel Herrera,HUE,LIGA,M,16,1158,85
Rony Lopes,MON,FRAN,M,24,1855,84
Marvin Bakalorz,HAN,BUND,M,25,1464,84
